State,Murder,Assault,UrbanPop,Rape,Area,Longitude,Latitude,Division,Region,Population,Income,Illiteracy,Life Exp,Murder,HS Grad,Frost,Area,Cluster
Alabama,13.2,236,58,21.2,51609,-86.7509,32.5901,East South Central,South,3615,3624,2.1,69.05,15.1,41.3,20,50708,9
Alaska,10.0,263,48,44.5,589757,-127.25,49.25,Pacific,West,365,6315,1.5,69.31,11.3,66.7,152,566432,8
Arizona,8.1,294,80,31.0,113909,-111.625,34.2192,Mountain,West,2212,4530,1.8,70.55,7.8,58.1,15,113417,3
Arkansas,8.8,190,50,19.5,53104,-92.2992,34.7336,West South Central,South,2110,3378,1.9,70.66,10.1,39.9,65,51945,2
California,9.0,276,91,40.6,158693,-119.773,36.5341,Pacific,West,21198,5114,1.1,71.71,10.3,62.6,20,156361,8
Colorado,7.9,204,78,38.7,104247,-105.513,38.6777,Mountain,West,2541,4884,0.7,72.06,6.8,63.9,166,103766,3
Connecticut,3.3,110,77,11.1,5009,-72.3573,41.5928,New England,Northeast,3100,5348,1.1,72.48,3.1,56.0,139,4862,1
Delaware,5.9,238,72,15.8,2057,-74.9841,38.6777,South Atlantic,South,579,4809,0.9,70.06,6.2,54.6,103,1982,5
Florida,15.4,335,80,31.9,58560,-81.685,27.8744,South Atlantic,South,8277,4815,1.3,70.66,10.7,52.6,11,54090,5
Georgia,17.4,211,60,25.8,58876,-83.3736,32.3329,South Atlantic,South,4931,4091,2.0,68.54,13.9,40.6,60,58073,5
Hawaii,5.3,46,83,20.2,6450,-126.25,31.75,Pacific,West,868,4963,1.9,73.6,6.2,61.9,0,6425,8
Idaho,2.6,120,54,14.2,83557,-113.93,43.5648,Mountain,West,813,4119,0.6,71.87,5.3,59.5,126,82677,3
Illinois,10.4,249,83,24.0,56400,-89.3776,40.0495,East North Central,North Central,11197,5107,0.9,70.14,10.3,52.6,127,55748,4
Indiana,7.2,113,65,21.0,36291,-86.0808,40.0495,East North Central,North Central,5313,4458,0.7,70.88,7.1,52.9,122,36097,4
